origin,destination,actual
3300456,3300456,94319
3300456,3301702,11442
3300456,3301850,1
3300456,3301900,45
3300456,3302007,358
3300456,3302270,239
3300456,3302502,179
3300456,3302601,2
3300456,3302700,3
3300456,3302858,1352
3300456,3303203,306
3300456,3303302,472
3300456,3303500,4208
3300456,3303609,2
3300456,3303906,1
3300456,3304003,5
3300456,3304144,600
3300456,3304557,45542
3300456,3305109,2247
3300456,3305554,45
3300803,3300803,23
3300803,3301850,4
3300803,3301900,30
3300803,3302502,1
3300803,3302700,1
3300803,3303302,7
3300803,3304144,1
3300803,3304557,22
3300803,3305554,1
3301702,3300456,1257
3301702,3301702,231938
3301702,3301850,151
3301702,3301900,42
3301702,3302007,624
3301702,3302270,230
3301702,3302502,1492
3301702,3302601,3
3301702,3302700,210
3301702,3302858,131
3301702,3303203,96
3301702,3303302,781
3301702,3303500,598
3301702,3303609,3
3301702,3303906,7
3301702,3304003,673
3301702,3304144,173
3301702,3304557,64889
3301702,3305109,1207
3301702,3305554,51
3301801,3303609,3
3301801,3304003,2
3301801,3304557,1
3301801,3305109,1
3301801,3305554,1
3301850,3300803,64
3301850,3301702,81
3301850,3301850,2173
3301850,3301900,62
3301850,3302502,400
3301850,3303302,40
3301850,3304557,437
3301850,3305109,3
3301850,3305554,5
3301900,3300456,1
3301900,3300803,695
3301900,3301702,596
3301900,3301850,122
3301900,3301900,51256
3301900,3302007,76
3301900,3302270,87
3301900,3302502,532
3301900,3302601,1
3301900,3302700,1990
3301900,3303302,10506
3301900,3303500,41
3301900,3303609,1
3301900,3304003,3
3301900,3304557,13437
3301900,3305109,8
3301900,3305554,2
3302007,3300456,11
3302007,3301702,155
3302007,3301900,1
3302007,3302007,35795
3302007,3302270,1
3302007,3302502,14
3302007,3302601,83
3302007,3302700,1
3302007,3303203,10
3302007,3303302,55
3302007,3303500,31
3302007,3303609,384
3302007,3304003,1047
3302007,3304409,12
3302007,3304557,4199
3302007,3305109,4
3302007,3305554,834
3302270,3300456,112
3302270,3301702,173
3302270,3301801,13
3302270,3301850,1
3302270,3301900,1
3302270,3302007,121
3302270,3302270,14018
3302270,3302502,15
3302270,3302601,3
3302270,3302700,1
3302270,3302858,316
3302270,3302908,10
3302270,3303203,130
3302270,3303302,63
3302270,3303500,619
3302270,3303609,1463
3302270,3304144,981
3302270,3304557,8655
3302270,3305109,37
3302270,3305554,587
3302502,3300456,92
3302502,3300803,39
3302502,3301702,5813
3302502,3301850,3538
3302502,3301900,501
3302502,3302007,210
3302502,3302270,48
3302502,3302502,54155
3302502,3302601,3
3302502,3302700,137
3302502,3302858,1
3302502,3302908,1
3302502,3303203,6
3302502,3303302,629
3302502,3303500,67
3302502,3303906,12
3302502,3304003,1
3302502,3304144,72
3302502,3304557,11465
3302502,3305109,32
3302502,3305554,30
3302601,3301702,1
3302601,3302007,43
3302601,3302601,2
3302601,3303609,1
3302601,3304557,20
3302601,3305554,1
3302700,3301702,174
3302700,3301900,617
3302700,3302007,45
3302700,3302270,133
3302700,3302502,60
3302700,3302601,2
3302700,3302700,20508
3302700,3302858,1
3302700,3302908,1
3302700,3303203,1
3302700,3303302,4897
3302700,3303500,32
3302700,3303609,1
3302700,3304003,1
3302700,3304557,11213
3302700,3305109,39
3302858,3300456,954
3302858,3301702,1156
3302858,3301801,2
3302858,3301850,132
3302858,3301900,1
3302858,3302007,159
3302858,3302270,711
3302858,3302502,1
3302858,3302601,2
3302858,3302700,26
3302858,3302858,27394
3302858,3302908,1
3302858,3303203,2128
3302858,3303302,171
3302858,3303500,2654
3302858,3303609,325
3302858,3303906,1
3302858,3304003,3
3302858,3304144,402
3302858,3304409,13
3302858,3304557,19717
3302858,3305109,604
3302858,3305554,120
3302908,3302007,1
3302908,3302270,2
3302908,3304003,4
3302908,3304557,4
3303203,3300456,369
3303203,3301702,948
3303203,3301900,22
3303203,3302007,149
3303203,3302270,620
3303203,3302502,1
3303203,3302601,2
3303203,3302700,29
3303203,3302858,1367
3303203,3302908,2
3303203,3303203,29604
3303203,3303302,222
3303203,3303500,1030
3303203,3303609,120
3303203,3303906,1
3303203,3304003,429
3303203,3304144,187
3303203,3304557,17713
3303203,3305109,509
3303203,3305554,101
3303302,3300456,69
3303302,3300803,172
3303302,3301702,1540
3303302,3301850,386
3303302,3301900,2395
3303302,3302007,202
3303302,3302270,178
3303302,3302502,279
3303302,3302700,2249
3303302,3302858,32
3303302,3303203,41
3303302,3303302,151193
3303302,3303500,113
3303302,3303609,3
3303302,3303906,4
3303302,3304003,430
3303302,3304144,26
3303302,3304409,1
3303302,3304557,51313
3303302,3305109,41
3303302,3305554,130
3303500,3300456,3150
3303500,3301702,3875
3303500,3301801,16
3303500,3301850,1
3303500,3301900,76
3303500,3302007,1519
3303500,3302270,2415
3303500,3302502,50
3303500,3302601,8
3303500,3302700,413
3303500,3302858,3506
3303500,3302908,2
3303500,3303203,1612
3303500,3303302,724
3303500,3303500,186216
3303500,3303609,560
3303500,3303906,2
3303500,3304003,1302
3303500,3304144,3106
3303500,3304409,1
3303500,3304557,61055
3303500,3305109,984
3303500,3305554,1221
3303609,3300456,21
3303609,3300803,13
3303609,3301702,44
3303609,3301801,42
3303609,3301850,73
3303609,3302007,176
3303609,3302270,705
3303609,3302601,1
3303609,3302858,1
3303609,3303203,28
3303609,3303302,28
3303609,3303500,153
3303609,3303609,11734
3303609,3303906,1
3303609,3304003,1
3303609,3304144,276
3303609,3304409,17
3303609,3304557,1122
3303609,3305109,3
3303609,3305554,871
3304003,3300456,2
3304003,3301702,6
3304003,3302007,14
3304003,3302858,5
3304003,3303203,1
3304003,3303302,1
3304003,3303500,1
3304003,3303609,1
3304003,3304003,1237
3304003,3304409,7
3304003,3304557,32
3304003,3305554,37
3304144,3300456,274
3304144,3300803,1
3304144,3301702,500
3304144,3301801,3
3304144,3301900,187
3304144,3302007,149
3304144,3302270,2725
3304144,3302601,1
3304144,3302858,619
3304144,3302908,1
3304144,3303203,250
3304144,3303302,130
3304144,3303500,1513
3304144,3303609,808
3304144,3303906,1
3304144,3304003,2
3304144,3304144,29357
3304144,3304409,25
3304144,3304557,15085
3304144,3305109,215
3304144,3305554,101
3304557,3300456,1018
3304557,3300803,120
3304557,3301702,14039
3304557,3301801,1
3304557,3301850,98
3304557,3301900,679
3304557,3302007,8131
3304557,3302270,902
3304557,3302502,352
3304557,3302601,56
3304557,3302700,1077
3304557,3302858,1037
3304557,3302908,24
3304557,3303203,1007
3304557,3303302,3974
3304557,3303500,2189
3304557,3303609,1002
3304557,3303906,9
3304557,3304003,829
3304557,3304144,1000
3304557,3304409,39
3304557,3304557,2438476
3304557,3305109,1348
3304557,3305554,3609
3304904,3300456,144
3304904,3300803,136
3304904,3301702,919
3304904,3301850,250
3304904,3301900,7525
3304904,3302007,229
3304904,3302270,5
3304904,3302502,551
3304904,3302601,1
3304904,3302700,3625
3304904,3302858,2
3304904,3303203,25
3304904,3303302,42812
3304904,3303500,31
3304904,3303609,5
3304904,3304003,11
3304904,3304144,68
3304904,3304557,46206
3304904,3304904,240076
3304904,3305109,26
3304904,3305554,58
3305109,3300456,1270
3305109,3300803,24
3305109,3301702,9654
3305109,3301801,1
3305109,3301850,42
3305109,3301900,41
3305109,3302007,407
3305109,3302270,329
3305109,3302502,142
3305109,3302601,1
3305109,3302700,64
3305109,3302858,715
3305109,3303203,861
3305109,3303302,519
3305109,3303500,1281
3305109,3303609,137
3305109,3303906,1
3305109,3304003,6
3305109,3304144,458
3305109,3304557,47972
3305109,3305109,102764
3305109,3305554,106
3305554,3300456,36
3305554,3300803,26
3305554,3301702,44
3305554,3301801,1
3305554,3301850,1
3305554,3301900,14
3305554,3302007,2323
3305554,3302270,234
3305554,3302502,15
3305554,3302601,5
